title,director,year,country,genre,rating,votes
肖申克的救赎,弗兰克·德拉邦特 Frank Darabont,1994,美国,犯罪 剧情,9.7,3084018
霸王别姬,陈凯歌 Kaige Chen,1993,中国大陆 中国香港,剧情 爱情 同性,9.6,2276577
阿甘正传,罗伯特·泽米吉斯 Robert Zemeckis,1994,美国,剧情 爱情,9.5,2295818
泰坦尼克号,詹姆斯·卡梅隆 James Cameron,1997,美国 墨西哥,剧情 爱情 灾难,9.5,2336419
千与千寻,宫崎骏 Hayao Miyazaki,2001,日本,剧情 动画 奇幻,9.4,2384855
美丽人生,罗伯托·贝尼尼 Roberto Benigni,1997,意大利,剧情 喜剧 爱情 战争,9.5,1403230
这个杀手不太冷,吕克·贝松 Luc Besson,1994,法国 美国,剧情 动作 犯罪,9.4,2430863
星际穿越,克里斯托弗·诺兰 Christopher Nolan,2014,美国 英国 加拿大,剧情 科幻 冒险,9.4,2007995
盗梦空间,克里斯托弗·诺兰 Christopher Nolan,2010,美国 英国,剧情 科幻 悬疑 冒险,9.4,2195870
楚门的世界,彼得·威尔 Peter Weir,1998,美国,剧情 科幻,9.4,1865932
辛德勒的名单,史蒂文·斯皮尔伯格 Steven Spielberg,1993,美国,剧情 历史 战争,9.5,1186387
忠犬八公的故事,莱塞·霍尔斯道姆 Lasse Hallström,2009,美国 英国,剧情,9.4,1468513
海上钢琴师,朱塞佩·托纳多雷 Giuseppe Tornatore,1998,意大利,剧情 音乐,9.3,1772991
三傻大闹宝莱坞,拉库马·希拉尼 Rajkumar Hirani,2009,印度,剧情 喜剧 爱情 歌舞,9.2,1965883
放牛班的春天,克里斯托夫·巴拉蒂 Christophe Barratier,2004,法国 瑞士 德国,剧情 音乐,9.3,1394218
机器人总动员,安德鲁·斯坦顿 Andrew Stanton,2008,美国,科幻 动画 冒险,9.3,1399410
疯狂动物城,拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,2016,美国,喜剧 动画 冒险,9.2,2093967
无间道,刘伟强 / 麦兆辉,2002,中国香港,剧情 犯罪 惊悚,9.3,1466274
控方证人,比利·怀尔德 Billy Wilder,1957,美国,剧情 犯罪 悬疑 惊悚,9.6,639237
