title,year,director,genres,country,language,rating,votes
"是，大臣 1984圣诞特辑 Yes, Minister: Party Games",1984,彼得·惠特莫尔,喜剧,英国,英语,9.8,14261
悲惨世界：十周年纪念演唱会 Les Misérables the Dream Cast in Concert,1995,约翰·凯尔德 / Paul Kafno / Gavin Taylor,剧情 / 歌舞,英国,英语,9.8,5851
肖申克的救赎 The Shawshank Redemption,1994,弗兰克·德拉邦特,剧情 / 犯罪,美国,英语,9.7,3084085
剧院魅影：25周年纪念演出 The Phantom of the Opera at the Royal Albert Hall,2011,尼克·莫里斯 / Laurence Connor,剧情 / 音乐 / 歌舞,英国,英语,9.7,36155
陈奕迅DUO演唱会,2010,,音乐 / 歌舞,中国香港,粤语,9.7,4353
霸王别姬,1993,陈凯歌,剧情 / 爱情 / 同性,中国大陆 / 中国香港,汉语普通话,9.6,2276625
控方证人 Witness for the Prosecution,1957,比利·怀尔德,剧情 / 悬疑 / 惊悚 / 犯罪,美国,英语 / 德语,9.6,639257
茶馆,1982,谢添,剧情 / 历史,中国大陆,汉语普通话,9.6,178997
初步举证 National Theatre Live: Prima Facie,2022,Justin Martin,剧情,英国,英语,9.6,11346
憨豆先生精选辑 The Best Bits of Mr. Bean,1995,约翰·伯金 / 约翰·霍华德·戴维斯,喜剧,英国,英语,9.6,12058
悲惨世界：25周年纪念演唱会 Les Misérables in Concert: The 25th Anniversary,2010,尼克·莫里斯,音乐,英国,英语,9.6,18395
伊丽莎白 Elisabeth,2005,Sven Offen,剧情 / 歌舞,Austria,德语,9.6,10586
方大同15香港演唱会 2011 15 Live in Hong Kong,2011,,歌舞,中国香港,粤语,9.6,196
陈奕迅线上慈善演唱会 Live Is So Much Better With Music Eason Chan Charity Concert,2020,,音乐 / 真人秀,中国香港,粤语,9.6,13757
泰坦尼克号 Titanic,1997,詹姆斯·卡梅隆,剧情 / 爱情 / 灾难,美国 / 墨西哥,英语 / 意大利语 / 德语 / 俄语,9.5,2336482
美丽人生 La vita è bella,1997,罗伯托·贝尼尼,剧情 / 喜剧 / 爱情 / 战争,意大利,意大利语 / 德语 / 英语,9.5,1403256
辛德勒的名单 Schindler's List,1993,史蒂文·斯皮尔伯格,剧情 / 历史 / 战争,美国,英语 / 希伯来语 / 德语 / 波兰语,9.5,1186411
高山下的花环,1984,谢晋,剧情 / 战争,中国大陆,汉语普通话,9.5,124686
背靠背，脸对脸,1994,黄建新 / 杨亚洲,剧情,中国大陆 / 中国香港,汉语普通话,9.5,157796
汉密尔顿 Hamilton,2020,托马斯·凯尔,歌舞 / 历史,美国,英语,9.5,82432
十二怒汉（电视版） Studio One: Twelve Angry Men,1954,富兰克林·沙夫纳,剧情 / 悬疑 / 犯罪,美国,英语,9.5,27157
夏目友人帐 第五季 特别篇 一夜酒杯 夏目友人帳 伍 特別編 一夜盃,2017,大森贵弘 / 出合小都美,剧情 / 动画,日本,日语,9.5,18382
夏目友人帐 第六季 特别篇 铃响的残株 夏目友人帳 陸 特別編 鈴鳴るの切り株,2017,大森贵弘 / 出合小都美,剧情 / 动画 / 奇幻,日本,日语,9.5,21077
2008年第29届北京奥运会开幕式 Beijing 2008 Olympics Games Opening Ceremony,2008,张艺谋 / 张继钢 / 陈维亚,运动,中国大陆,汉语普通话 / 英语 / 法语,9.5,75026
莫扎特！ Mozart! Das Musical,2015,Harry Kupfer,歌舞,奥地利 Austria,德语,9.5,9498
唐顿庄园：2015圣诞特别篇 Downton Abbey: The Finale,2015,迈克尔·恩格勒,剧情 / 家庭,英国 / 美国,英语,9.5,18096
汉纳·盖茨比告别秀：娜娜 Hannah Gadsby: Nanette,2018,乔恩·欧布 / 玛德琳·帕里,喜剧 / 脱口秀,澳大利亚,英语,9.5,10049
