title,year,director,genres,country,language,rating,votes
"是，大臣 1984圣诞特辑 Yes, Minister: Party Games",1984,彼得·惠特莫尔,喜剧,英国,英语,9.8,14260
悲惨世界：十周年纪念演唱会 Les Misérables the Dream Cast in Concert,1995,约翰·凯尔德 / Paul Kafno / Gavin Taylor,剧情 / 歌舞,英国,英语,9.8,5851
霸王别姬,1993,陈凯歌,剧情 / 爱情 / 同性,中国大陆 / 中国香港,汉语普通话,9.6,2276623
控方证人 Witness for the Prosecution,1957,比利·怀尔德,剧情 / 悬疑 / 惊悚 / 犯罪,美国,英语 / 德语,9.6,639257
茶馆,1982,谢添,剧情 / 历史,中国大陆,汉语普通话,9.6,178996
初步举证 National Theatre Live: Prima Facie,2022,Justin Martin,剧情,英国,英语,9.6,11346
悲惨世界：25周年纪念演唱会 Les Misérables in Concert: The 25th Anniversary,2010,尼克·莫里斯,音乐,英国,英语,9.6,18395
伊丽莎白 Elisabeth,2005,Sven Offen,剧情 / 歌舞,Austria,德语,9.6,10586
方大同15香港演唱会 2011 15 Live in Hong Kong,2011,,歌舞,中国香港,粤语,9.6,196
泰坦尼克号 Titanic,1997,詹姆斯·卡梅隆,剧情 / 爱情 / 灾难,美国 / 墨西哥,英语 / 意大利语 / 德语 / 俄语,9.5,2336481
阿甘正传 Forrest Gump,1994,罗伯特·泽米吉斯,剧情 / 爱情,美国,英语,9.5,2295872
美丽人生 La vita è bella,1997,罗伯托·贝尼尼,剧情 / 喜剧 / 爱情 / 战争,意大利,意大利语 / 德语 / 英语,9.5,1403256
高山下的花环,1984,谢晋,剧情 / 战争,中国大陆,汉语普通话,9.5,124685
汉密尔顿 Hamilton,2020,托马斯·凯尔,歌舞 / 历史,美国,英语,9.5,82432
十二怒汉（电视版） Studio One: Twelve Angry Men,1954,富兰克林·沙夫纳,剧情 / 悬疑 / 犯罪,美国,英语,9.5,27157
新世纪福音战士剧场版：Air/真心为你 新世紀エヴァンゲリオン劇場版 Air/まごころを、君に,1997,庵野秀明 / 鹤卷和哉,剧情 / 科幻 / 动画,日本,日语,9.5,92717
夏目友人帐 第六季 特别篇 铃响的残株 夏目友人帳 陸 特別編 鈴鳴るの切り株,2017,大森贵弘 / 出合小都美,剧情 / 动画 / 奇幻,日本,日语,9.5,21077
2008年第29届北京奥运会开幕式 Beijing 2008 Olympics Games Opening Ceremony,2008,张艺谋 / 张继钢 / 陈维亚,运动,中国大陆,汉语普通话 / 英语 / 法语,9.5,75026
莫扎特！ Mozart! Das Musical,2015,Harry Kupfer,歌舞,奥地利 Austria,德语,9.5,9498
山河令生来知己演唱会,2021,,音乐 / 歌舞 / 真人秀,中国大陆,汉语普通话,9.5,139225
雷曼兄弟三部曲 National Theatre Live: The Lehman Trilogy,2019,萨姆·门德斯 / Matthew Amos,剧情,英国,英语,9.5,8903
拾下拾下,1999,黄子华,脱口秀,中国香港,粤语,9.5,2438
越大镬越快乐,2007,黄子华,真人秀,中国香港,粤语,9.5,3033
秋前算账,1997,黄子华,脱口秀,中国香港,粤语,9.5,2114
The One演唱会 周杰倫 The One 演唱會,2002,,音乐,中国台湾,汉语普通话,9.5,1776
北国之恋：1987初恋 北の国から'87初恋,1987,杉田成道,剧情,日本,日语,9.5,1559
北国之恋：2002遗言 北の国から 2002遺言,2002,杉田成道,剧情 / 家庭,日本,日语,9.5,1612
北国之恋：1998时代 北の国から '98時代,1998,杉田成道,剧情,日本,日语,9.5,1325
伊恩·麦克莱恩80岁个人秀巡回演出 Great British Theatre: Ian McKellen on Stage,2021,西恩·马提亚斯,剧情,英国,英语,9.5,1166
这个杀手不太冷 Léon,1994,吕克·贝松,剧情 / 动作 / 犯罪,法国 / 美国,英语 / 意大利语 / 法语,9.4,2430970
千与千寻 千と千尋の神隠し,2001,宫崎骏,剧情 / 动画 / 奇幻,日本,日语,9.4,2384933
楚门的世界 The Truman Show,1998,彼得·威尔,剧情 / 科幻,美国,英语,9.4,1865989
忠犬八公的故事 Hachi: A Dog's Tale,2009,拉斯·霍尔斯道姆,剧情,美国 / 英国,英语 / 日语,9.4,1468538
大闹天宫,1961,万籁鸣,剧情 / 动画 / 奇幻 / 古装,中国大陆,汉语普通话,9.4,474201
横空出世,1999,陈国星,剧情 / 历史,中国大陆,汉语普通话,9.4,97514
切腹,1962,小林正树,剧情 / 动作 / 悬疑,日本,日语,9.4,50787
夏目友人帐 第六季 特别篇 梦幻的碎片 夏目友人帳 陸 特別編 夢幻のかけら,2017,大森贵弘 / 出合小都美,剧情 / 动画 / 奇幻,日本,日语,9.4,16290
夏目友人帐：曾几何时下雪之日 夏目友人帳 いつかゆきのひに,2014,大森贵弘,剧情 / 动画,日本,日语,9.4,25245
万物生灵：2021圣诞特别集 All Creatures Great and Small: Christmas Special,2021,安迪·海伊,剧情 / 喜剧,英国,英语,9.4,11328
灵能百分百II OVA モブサイコ100 第一回霊とか相談所慰安旅行～ココロ満たす癒やしの旅～,2019,立川让,动画,日本,日语,9.4,16210
福尔摩斯二世 Sherlock Jr.,1924,巴斯特·基顿,喜剧 / 动作 / 爱情,美国,无对白,9.4,30358
